	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	153.74667	152.45017	52.30924	2.18191
	2	134.61406	133.46292	49.82777	2.22676
	3	122.82575	121.75333	48.75478	2.11417
	4	114.73700	113.79917	48.40908	2.12534
	5	108.98608	107.95258	48.67388	2.12148
	6	104.71788	103.73750	50.32755	2.08251
	7	101.36508	100.44642	55.88045	2.17359
	8	98.60931	97.75467	55.16017	2.13287
	9	96.39456	95.47700	59.41240	2.01269
	10	94.44823	93.33750	40.83331	2.10143
	11	92.68973	91.67850	56.27794	2.07603
	12	91.08510	90.07250	55.04288	2.21165
	13	89.63708	88.79333	57.17580	2.07850
	14	88.35546	87.58417	43.27521	2.09613
	15	87.21023	86.32117	53.64168	2.12988
	16	86.09050	85.18033	44.56385	2.22992
	17	85.08215	84.12075	54.14744	2.25829
	18	84.06613	83.31425	56.22867	2.06308
	19	83.18273	82.37867	58.01583	2.21319
	20	82.34252	81.61450	43.67458	2.02583
	21	81.45454	80.79533	47.13652	2.13169
	22	80.79892	79.93425	63.43461	2.12921
	23	80.01721	79.19983	60.01151	2.21707
	24	79.33435	78.62658	51.85093	2.22086
	25	78.69350	77.93558	50.46260	2.12793
	26	78.12156	77.21633	50.87121	2.14017
	27	77.47415	76.64750	51.91521	2.19256
	28	76.92150	76.24900	52.54319	2.12149
	29	76.39075	75.62308	49.41487	2.14419
	30	75.90106	75.11300	50.07664	2.13166
	31	75.39200	74.62742	49.97380	2.16378
	32	74.92954	74.12133	51.60917	2.21228
	33	74.41037	73.76408	49.31706	2.20569
	34	73.98369	73.31400	48.50737	2.21847
	35	73.55883	72.83592	51.79913	2.11763
	36	73.15204	72.46700	50.63052	2.17620
	37	72.79344	71.99808	46.84507	2.13443
	38	72.40127	71.59025	49.29050	2.12672
	39	71.95585	71.30775	54.74013	2.11556
	40	71.62850	70.91458	46.65482	2.15797
	41	71.23408	70.59467	55.84806	2.10209
	42	70.98008	70.21508	49.74433	2.15955
	43	70.57558	69.83858	49.89647	2.10427
	44	70.32773	69.60283	49.63602	2.04181
	45	69.97554	69.24658	49.56135	2.02303
	46	69.65706	69.00983	51.40274	2.08631
	47	69.39667	68.79058	66.22137	2.22467
	48	69.15442	68.41567	57.32116	2.07263
	49	68.88719	68.16025	56.76137	1.94901
	50	68.60340	67.93817	44.26604	2.15726
	51	68.25433	67.64075	52.21344	1.98353
	52	68.02277	67.29750	54.73053	2.27802
	53	67.77677	67.22567	47.22946	2.31495
	54	67.55485	66.96417	58.37740	2.14550
	55	67.30615	66.72925	54.37276	2.17528
	56	67.08869	66.49133	47.86643	2.04452
	57	66.82292	66.19592	48.48169	2.06619
	58	66.64271	65.91408	49.15762	2.14367
	59	66.45204	65.82592	48.60136	2.10949
	60	66.11573	65.45725	51.55668	2.11114
	61	65.99173	65.33283	54.87158	2.15546
	62	65.77898	65.11175	54.33267	2.18740
	63	65.56110	64.95100	53.27821	2.15745
	64	65.36956	64.81792	50.30217	2.16804
	65	65.19427	64.58525	52.46536	2.14278
	66	64.97081	64.45717	48.72676	2.21921
	67	64.82881	64.20617	49.43278	2.18698
	68	64.65702	63.98800	52.59613	2.12429
	69	64.43438	63.90650	54.21157	2.10046
	70	64.28038	63.71108	50.51644	2.15159
	71	64.08781	63.49983	52.99948	2.09161
	72	63.91710	63.31275	50.79669	2.14584
	73	63.76102	63.18992	48.45423	2.19114
	74	63.59081	63.07492	47.79415	2.11167
	75	63.42321	62.90117	50.06469	2.16737
	76	63.33017	62.84800	47.92565	2.10752
	77	63.11579	62.54242	49.67141	2.14372
	78	63.02554	62.40283	50.59230	2.21541
	79	62.81488	62.27642	48.62024	2.15193
	80	62.69654	62.16450	49.34329	2.14729
	81	62.56156	61.94750	49.78506	2.15898
	82	62.41104	61.85675	49.38796	2.15770
	83	62.29031	61.69817	49.47620	2.15044
	84	62.12046	61.43408	49.54035	2.14059
	85	61.99908	61.47675	49.15057	2.10128
	86	61.89271	61.27308	48.79148	2.12127
	87	61.77046	61.24667	48.78106	2.18843
	88	61.61733	61.14717	48.01542	2.14373
	89	61.47385	60.84300	48.65202	2.22563
	90	61.39567	60.79508	47.96952	2.19336
	91	61.24585	60.72292	47.34126	2.16310
	92	61.09692	60.60458	49.31287	2.12847
	93	61.01479	60.56100	47.89658	2.07977
	94	60.88765	60.33067	47.81669	2.14639
	95	60.76835	60.27433	48.26669	2.17820
	96	60.69852	60.07550	49.05279	2.13681
	97	60.54813	60.02475	49.33202	2.19829
	98	60.43325	59.86575	49.91546	2.16493
	99	60.32329	59.76250	50.21509	2.22602
	100	60.23831	59.58900	50.16927	2.21963
