	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	209.18010	208.14500	37.98043	2.18962
	2	174.00771	172.88442	32.43139	2.01929
	3	161.53290	160.25908	34.09671	2.14385
	4	153.68598	152.57075	39.93100	2.14382
	5	147.79675	146.52358	37.67240	2.17942
	6	142.90679	141.74167	41.31533	2.35564
	7	138.52679	137.47667	37.14942	2.04999
	8	134.73621	133.52742	41.88032	2.18556
	9	131.11206	130.02642	32.41659	2.24569
	10	128.06481	126.89542	43.03707	2.21405
	11	125.36983	124.28933	34.43736	2.16279
	12	122.78288	121.85408	38.47499	2.20273
	13	120.54808	119.33292	33.87449	2.25364
	14	118.45469	117.22975	34.11057	2.21484
	15	116.56310	115.42675	40.81695	2.23584
	16	114.75248	113.59217	36.90350	2.11037
	17	113.15602	112.15817	45.92619	2.18302
	18	111.67185	110.61867	38.19766	2.24388
	19	110.30087	109.32133	39.02570	2.18004
	20	109.04648	108.12608	42.65371	2.14819
	21	107.90548	106.74392	37.28736	2.19397
	22	106.73604	105.59933	37.67103	2.15106
	23	105.67844	104.61292	37.65390	2.18388
	24	104.71765	103.72167	39.75420	2.20264
	25	103.81435	102.94933	39.06067	2.23679
	26	102.93029	102.06150	39.65859	2.18518
	27	102.17488	101.22825	39.73140	2.13171
	28	101.40871	100.43558	40.36985	2.19319
	29	100.64910	99.63008	38.36100	2.19465
	30	100.03840	99.06050	38.30316	2.23419
	31	99.22404	98.36292	36.91125	2.15502
	32	98.67483	97.67758	37.06472	2.16441
	33	98.00275	97.09025	37.89453	2.15436
	34	97.42627	96.51667	37.60124	2.21988
	35	96.92846	96.03992	37.73683	2.17597
	36	96.35927	95.42433	39.43287	2.23209
	37	95.82135	95.01550	36.32612	2.15257
	38	95.28627	94.47492	33.77056	2.16158
	39	94.78756	94.01983	34.34745	2.16808
	40	94.38769	93.42708	32.18878	2.13028
	41	93.93781	93.12350	36.00812	2.17746
	42	93.44502	92.66975	38.21945	2.13533
	43	93.03525	92.20550	48.14951	2.16457
	44	92.62583	91.78767	40.37395	2.09301
	45	92.19727	91.33850	39.83490	2.11272
	46	91.87050	90.90533	37.53211	2.14351
	47	91.43046	90.50958	39.71076	2.05409
	48	91.02792	90.13350	41.45291	2.18116
	49	90.72502	89.71850	38.69249	2.28447
	50	90.32723	89.34550	35.59744	2.17888
	51	89.94256	89.11717	37.91115	2.27172
	52	89.64175	88.74933	44.65604	2.06716
	53	89.27465	88.39642	39.75149	2.14222
	54	89.01548	88.06242	37.62160	2.22454
	55	88.63077	87.83517	35.23637	2.26846
	56	88.28948	87.53150	37.24255	2.23838
	57	88.01079	87.17175	37.91328	2.10496
	58	87.74402	86.81783	33.43476	2.11665
	59	87.41819	86.57225	36.10340	2.16930
	60	87.17717	86.23625	38.88735	2.20099
	61	86.90287	86.16117	38.62930	2.14944
	62	86.57171	85.67850	39.24849	2.17749
	63	86.28806	85.55225	37.21686	2.23698
	64	85.96258	85.19808	39.05456	2.25706
	65	85.79198	84.85550	37.82928	2.26360
	66	85.51863	84.71642	41.09360	2.21966
	67	85.28504	84.36608	38.60825	2.25797
	68	85.04425	84.18392	38.57921	2.20588
	69	84.77771	83.83200	38.65154	2.19964
	70	84.50621	83.76575	38.24768	2.19801
	71	84.31454	83.46475	38.83299	2.18997
	72	84.03367	83.20692	38.69928	2.06114
	73	83.86323	82.92267	35.26788	2.07528
	74	83.58023	82.87533	37.23164	2.22092
	75	83.37246	82.47100	34.00174	2.15147
	76	83.16148	82.34758	41.34262	2.14095
	77	82.90515	82.16658	36.98441	2.24160
	78	82.72381	81.87558	38.27920	2.21140
	79	82.49129	81.71967	36.74852	2.49346
	80	82.32717	81.47392	33.39428	2.12724
	81	82.10929	81.39150	40.71947	2.23871
	82	81.82796	81.07483	35.78030	2.30280
	83	81.70065	80.89058	34.47848	2.39497
	84	81.52817	80.70533	36.85524	2.17805
	85	81.31767	80.50867	35.27436	2.12635
	86	81.19063	80.17850	34.87918	2.13403
	87	80.95285	79.97567	44.43750	1.92654
	88	80.73765	79.95883	38.40749	2.15268
	89	80.59231	79.76500	42.65114	2.19161
	90	80.36592	79.52925	44.20947	2.09980
	91	80.21935	79.35792	37.55491	2.21609
	92	80.00852	79.18092	43.12678	2.26271
	93	79.89183	79.03267	47.59312	2.05800
	94	79.67240	78.83950	35.66978	2.08105
	95	79.46010	78.66442	39.13915	2.14889
	96	79.35585	78.47300	34.98060	2.08987
	97	79.22279	78.37525	33.00232	2.04673
	98	79.02712	78.16525	35.25659	2.23777
	99	78.88337	78.12650	41.21152	2.07932
	100	78.70469	77.92542	35.17465	2.20715
