	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	108.90835	107.65200	100.90379	2.21378
	2	94.18979	93.23633	113.70742	1.91565
	3	87.04354	86.21200	91.92837	2.13564
	4	82.26021	81.50200	100.10599	2.13362
	5	78.70981	77.96542	88.34610	2.14763
	6	75.82348	75.04700	98.92915	2.18102
	7	73.54467	72.84775	91.62496	2.17835
	8	71.62840	70.80558	98.44249	2.21404
	9	69.94275	69.27317	87.60931	2.30143
	10	68.54019	67.85317	107.28172	2.05561
	11	67.27173	66.58633	93.39296	2.16755
	12	66.09881	65.51800	94.87827	2.16237
	13	65.11100	64.53617	93.24280	2.07908
	14	64.27690	63.66433	87.79525	2.42936
	15	63.42150	62.77133	116.53211	2.22674
	16	62.69735	62.11500	104.34566	2.11725
	17	61.94712	61.38958	102.68905	2.17890
	18	61.33888	60.77525	91.53675	1.90290
	19	60.74483	60.17333	83.56482	2.08941
	20	60.16692	59.59275	96.52841	2.23771
	21	59.76187	59.27600	91.14387	2.11752
	22	59.23231	58.77333	81.89412	2.11844
	23	58.73412	58.24667	89.94583	2.20915
	24	58.32288	57.84608	115.48168	2.12081
	25	57.85675	57.40433	86.01167	2.11482
	26	57.56392	57.19258	119.14090	1.90409
	27	57.19492	56.73025	107.41563	2.07446
	28	56.83554	56.36750	107.44470	1.94604
	29	56.51017	56.11458	94.56936	2.14458
	30	56.22637	55.94400	109.20108	2.10638
	31	55.84848	55.40933	89.49738	2.17387
	32	55.64312	55.13175	110.42408	2.05939
	33	55.33844	54.94858	114.99718	2.05395
	34	55.05950	54.60042	115.15705	2.71586
	35	54.79060	54.41567	94.91565	2.16680
	36	54.56435	54.09550	106.30985	2.04749
	37	54.39467	53.91425	79.74044	2.15194
	38	54.08490	53.67542	91.81402	2.11094
	39	53.89402	53.61642	88.48968	2.19892
	40	53.69321	53.29225	94.38849	2.08234
	41	53.55750	53.12175	113.31166	2.19616
	42	53.30600	52.83292	96.26313	2.20456
	43	53.13940	52.71850	90.79384	2.16933
	44	52.90898	52.55108	96.02601	2.13958
	45	52.77090	52.31408	109.68749	2.22043
	46	52.53998	52.21117	109.10327	2.11909
	47	52.39054	52.09150	104.15145	2.19341
	48	52.29965	51.85275	102.95692	2.14960
	49	52.11358	51.79433	106.05925	2.16196
	50	51.89660	51.55858	108.05862	2.16067
	51	51.78254	51.37433	104.98176	2.14577
	52	51.60679	51.23983	107.22320	2.10588
	53	51.48979	51.21108	108.79113	2.15816
	54	51.33044	51.01283	107.71475	2.14343
	55	51.19694	50.89975	104.12607	2.19029
	56	51.09252	50.80000	103.42267	2.15428
	57	50.94554	50.68050	107.99487	2.26192
	58	50.81262	50.41767	115.50443	2.17160
	59	50.70698	50.33983	103.91785	2.20945
	60	50.58094	50.18992	111.13768	2.13314
	61	50.48383	50.14692	78.62927	2.17203
	62	50.35246	50.04583	81.72390	2.02870
	63	50.23400	49.89867	110.43534	2.15990
	64	50.12604	49.91183	99.95622	2.14216
	65	50.04340	49.74542	92.44999	2.01256
	66	49.93181	49.53208	95.45312	2.11957
	67	49.82565	49.48775	102.70337	2.14411
	68	49.71923	49.43833	99.97824	2.11627
	69	49.63769	49.39483	90.23974	2.07530
	70	49.53052	49.24783	110.18046	2.15040
	71	49.42348	49.21033	93.32542	2.22860
	72	49.29371	48.99658	97.17530	2.08332
	73	49.19519	48.98225	99.04990	2.04517
	74	49.15873	48.83183	102.40136	2.10612
	75	49.03315	48.78942	89.08105	2.64759
	76	48.99767	48.68158	91.72346	2.56461
	77	48.90313	48.60300	93.33707	2.27975
	78	48.88079	48.62742	101.07623	2.54635
	79	48.67917	48.45158	87.17715	2.19888
	80	48.62344	48.42733	96.61293	2.08954
	81	48.57448	48.34325	114.14493	2.09322
	82	48.48221	48.24017	101.43075	2.17608
	83	48.41815	48.23608	116.50890	2.17582
	84	48.31562	48.05408	111.61365	2.04887
	85	48.26244	48.01450	110.69590	1.98446
	86	48.19344	48.02967	105.40697	2.20553
	87	48.14550	47.88192	93.56005	2.14188
	88	48.09598	47.83933	88.02361	2.09100
	89	47.96700	47.70058	87.43974	2.16354
	90	47.92425	47.73058	117.13625	2.14783
	91	47.85952	47.66550	93.47065	1.82418
	92	47.78729	47.60217	106.38802	2.07941
	93	47.70604	47.60633	105.11571	2.03196
	94	47.64635	47.47017	87.27026	2.05071
	95	47.65096	47.34267	110.81662	2.16443
	96	47.57292	47.25992	98.64739	2.11986
	97	47.55356	47.31300	103.81503	2.12464
	98	47.50025	47.22108	109.49378	2.12287
	99	47.34763	47.10708	99.89144	2.15817
	100	47.29552	47.18292	90.05283	2.16136
