	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	146.01035	144.67242	117.09596	2.19265
	2	128.88525	127.80242	115.05403	2.03062
	3	117.89171	116.87600	135.80904	2.13142
	4	110.70862	109.69783	110.66318	2.10127
	5	105.63642	104.66833	114.56197	2.09074
	6	101.99058	101.08983	101.05410	2.10861
	7	99.13094	98.34733	98.94982	2.14208
	8	96.76104	95.99992	100.73755	2.13332
	9	94.83787	93.75450	101.92330	2.03095
	10	92.97358	92.01675	96.38549	2.15366
	11	91.36588	90.60700	157.28537	2.20533
	12	89.96438	89.06242	106.66467	2.19866
	13	88.58775	87.70308	95.98498	2.20754
	14	87.32454	86.54217	161.94810	2.16872
	15	86.22900	85.41383	103.75285	2.44914
	16	85.16735	84.39067	105.79256	2.09036
	17	84.20854	83.42675	110.83481	2.15926
	18	83.30948	82.49033	147.71483	2.20642
	19	82.50846	81.71867	102.76452	2.16926
	20	81.63631	80.90608	128.48543	2.19402
	21	80.83154	79.99600	113.22891	2.14873
	22	80.18242	79.44667	97.11830	2.17134
	23	79.50556	78.71842	104.35412	2.14073
	24	78.83912	78.03558	104.54653	2.15521
	25	78.24429	77.46308	160.12659	2.40973
	26	77.60979	76.82167	139.47343	2.08561
	27	77.03144	76.34475	129.64198	2.20719
	28	76.52083	75.85450	101.68647	2.17382
	29	76.05115	75.44042	107.94685	2.19504
	30	75.58081	74.72867	98.98153	2.10457
	31	74.99400	74.31167	113.51472	2.14916
	32	74.60306	73.78350	157.03947	1.95874
	33	74.13725	73.43775	109.33680	2.18103
	34	73.72656	73.02008	113.30180	1.95742
	35	73.32006	72.66725	112.85536	2.12381
	36	72.93342	72.24158	138.35512	2.15655
	37	72.50683	71.86583	100.57576	2.24608
	38	72.24358	71.54975	106.90276	2.67505
	39	71.84946	71.16508	103.02154	2.18015
	40	71.57152	70.83758	98.14432	2.21074
	41	71.21281	70.46033	100.77823	2.20955
	42	70.84685	70.19275	95.86152	2.15942
	43	70.54169	69.86842	99.43286	2.07230
	44	70.22596	69.61367	94.24906	2.13164
	45	69.98323	69.23500	101.36411	2.12321
	46	69.65444	69.03350	99.31378	1.90421
	47	69.34448	68.72483	110.31941	2.16654
	48	69.05640	68.59358	92.81684	2.03574
	49	68.78846	68.20000	140.53967	2.10549
	50	68.58327	67.94200	107.98524	2.13310
	51	68.25883	67.74600	157.10503	2.05454
	52	68.08590	67.46058	92.91343	2.01950
	53	67.85156	67.17067	120.47067	2.18505
	54	67.57994	66.87933	115.33386	2.18611
	55	67.36369	66.81033	95.10145	2.10887
	56	67.17394	66.63758	93.70937	2.11316
	57	66.96050	66.24017	93.42260	2.10066
	58	66.77138	66.08042	97.11127	2.11598
	59	66.54508	65.89317	138.30414	2.12150
	60	66.33454	65.77933	151.08475	2.08343
	61	66.07846	65.49500	99.06481	2.13102
	62	65.88740	65.28000	93.15949	2.17963
	63	65.79567	65.17583	93.32114	2.17350
	64	65.58200	64.90383	96.52521	2.12674
	65	65.39933	64.71567	155.99443	2.13754
	66	65.17794	64.58700	123.15330	2.28018
	67	64.99069	64.44525	127.00956	1.92876
	68	64.89575	64.32950	96.44718	2.12400
	69	64.70615	64.13108	95.15770	2.09227
	70	64.50542	63.97375	100.05024	1.99730
	71	64.33352	63.80050	106.65932	1.98133
	72	64.22890	63.63433	111.77961	2.04043
	73	64.03415	63.46108	94.28954	2.04596
	74	63.91006	63.33475	157.39719	2.12869
	75	63.78275	63.13625	117.97401	1.95284
	76	63.66092	63.03583	95.67747	1.98971
	77	63.42896	62.92417	96.96834	2.11169
	78	63.31133	62.70808	95.10652	1.92132
	79	63.16496	62.66075	112.93518	2.15500
	80	63.01002	62.46017	112.30696	2.16251
	81	62.90081	62.35717	111.63504	2.15589
	82	62.73902	62.21400	113.58969	2.16425
	83	62.60883	61.98492	114.77358	2.17943
	84	62.48138	61.84075	117.49930	2.15412
	85	62.37840	61.81833	111.25546	2.63746
	86	62.24521	61.66417	112.20451	2.13320
	87	62.08671	61.45058	110.04485	2.10966
	88	61.95265	61.43775	152.33234	2.13256
	89	61.84450	61.46475	94.37597	2.12915
	90	61.73429	61.31983	107.46534	2.12278
	91	61.66115	61.06283	131.05736	2.17657
	92	61.51825	60.96250	160.32301	2.21811
	93	61.40423	60.80833	149.91908	2.25666
	94	61.27937	60.76508	115.94757	2.11792
	95	61.19904	60.60833	132.76196	2.33369
	96	61.03102	60.53975	142.05300	1.91172
	97	60.99556	60.43767	131.75404	2.19349
	98	60.81873	60.27350	111.97393	2.20309
	99	60.70192	60.27725	141.74457	2.26436
	100	60.64885	60.11133	137.99475	2.20016
