	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	146.50735	145.28733	109.57864	2.38044
	2	129.28335	128.13550	105.84380	2.26625
	3	118.24815	117.10592	95.56495	2.19431
	4	110.92763	109.91708	88.41055	2.19851
	5	105.90002	104.81117	80.67632	2.19140
	6	102.13148	101.22158	84.20930	2.22698
	7	99.26271	98.26283	116.89759	2.20028
	8	96.81546	96.14517	86.05554	2.20253
	9	94.81058	93.91400	81.13081	2.23525
	10	93.03735	92.14917	77.43506	2.05501
	11	91.49223	90.45558	98.00180	2.24379
	12	89.92142	89.16500	90.98704	2.24299
	13	88.63504	87.75092	83.40095	2.24139
	14	87.35560	86.45317	115.18891	2.20989
	15	86.26944	85.42642	86.13683	2.18247
	16	85.20700	84.42925	130.37916	2.17217
	17	84.21735	83.28183	81.73274	2.25285
	18	83.28302	82.62767	114.28651	2.42057
	19	82.43798	81.64600	106.22136	2.10465
	20	81.61248	80.84517	116.36550	2.13506
	21	80.89671	80.13050	113.75154	2.01532
	22	80.14442	79.40917	127.83876	2.18591
	23	79.50675	78.73067	115.78977	2.21890
	24	78.84560	78.04300	112.57669	1.93406
	25	78.24763	77.55700	86.49647	2.20439
	26	77.63246	76.89675	111.53158	2.16404
	27	77.02185	76.22183	107.89344	2.21075
	28	76.53825	75.76417	115.99725	2.17049
	29	75.98981	75.29600	98.73090	2.21183
	30	75.53258	74.68358	104.22774	2.22996
	31	75.00727	74.32900	80.75918	2.20190
	32	74.54696	73.89533	130.06464	2.25186
	33	74.17196	73.52383	106.57555	2.14039
	34	73.69727	73.12567	121.73068	2.14658
	35	73.29556	72.62117	106.66592	2.16784
	36	72.93481	72.28275	114.13319	2.13335
	37	72.56385	71.72250	110.55400	2.32164
	38	72.17677	71.47008	86.42484	2.29772
	39	71.85021	71.14058	101.29857	2.20716
	40	71.46302	70.78875	92.43725	2.15939
	41	71.10131	70.50442	81.57199	2.15464
	42	70.76010	70.14825	83.09414	2.15665
	43	70.48994	69.75667	106.66882	2.13417
	44	70.20317	69.44717	86.61123	2.22388
	45	69.86565	69.17567	115.01844	2.19615
	46	69.60285	69.00667	80.02736	2.20466
	47	69.28598	68.61167	80.43486	2.11827
	48	69.02890	68.38000	81.94338	2.20228
	49	68.83992	68.23550	93.03112	2.25245
	50	68.48629	67.95850	82.06045	2.09089
	51	68.27042	67.61133	107.36677	2.25319
	52	68.04412	67.50858	81.32664	2.21194
	53	67.77867	67.13850	124.20324	2.21140
	54	67.51665	66.84258	84.94089	2.07221
	55	67.32048	66.82283	78.94747	2.20755
	56	67.10440	66.60783	80.20531	2.06563
	57	66.89679	66.22108	113.77441	2.17185
	58	66.65435	65.99683	77.54293	2.07072
	59	66.44802	65.80175	123.19883	2.17945
	60	66.25565	65.61158	78.63138	2.18522
	61	66.03069	65.44758	79.07164	2.15416
	62	65.85908	65.23692	79.42015	2.09276
	63	65.64821	65.02092	78.62093	2.22094
	64	65.45908	64.91892	103.34969	2.28887
	65	65.25756	64.74550	77.74437	2.23111
	66	65.13144	64.52292	81.71752	2.11638
	67	64.91856	64.30208	87.54698	2.16697
	68	64.82029	64.21600	78.87560	1.96290
	69	64.60940	63.95350	81.39047	2.07469
	70	64.43298	63.82267	69.17375	2.04490
	71	64.29065	63.76875	74.58087	2.15148
	72	64.11560	63.52225	123.34955	2.15173
	73	63.95196	63.39433	80.15494	2.07795
	74	63.77752	63.23250	94.66777	2.14859
	75	63.66304	63.06800	98.91345	2.20688
	76	63.47319	62.96608	112.38342	2.12913
	77	63.35942	62.73600	103.57053	2.13046
	78	63.25362	62.59817	91.96075	2.18880
	79	63.06873	62.49508	99.99103	2.04921
	80	62.90348	62.20742	94.54361	2.17299
	81	62.79298	62.21367	86.79265	2.27561
	82	62.60046	62.03592	104.86981	2.08560
	83	62.52323	62.06333	117.04663	1.97393
	84	62.30785	61.87083	97.47131	2.02882
	85	62.28202	61.73533	86.88131	2.13576
	86	62.09992	61.68033	76.86236	2.54833
	87	61.97288	61.41983	98.47249	2.14100
	88	61.81796	61.42358	110.03222	2.34682
	89	61.75110	61.16342	94.64713	2.19044
	90	61.59742	61.06533	74.97147	2.14118
	91	61.51712	60.98992	105.15926	2.14410
	92	61.41556	60.82792	94.07958	2.20808
	93	61.28210	60.79308	97.12537	2.07267
	94	61.15969	60.67492	78.69652	2.33493
	95	61.09881	60.49900	99.56102	2.21191
	96	60.95148	60.40883	96.38795	2.17796
	97	60.86144	60.24717	89.54222	2.17978
	98	60.68829	60.27942	93.94579	2.24308
	99	60.59440	60.04783	95.25738	2.18825
	100	60.51329	59.98933	94.27899	2.16308
