	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	153.80394	152.67117	45.13612	2.16567
	2	134.66356	133.34700	45.41637	2.37946
	3	122.79906	121.63267	54.05678	2.09687
	4	114.77040	113.65058	55.93310	2.13888
	5	108.97596	108.15150	50.49786	2.12546
	6	104.75573	103.63658	53.08653	2.10321
	7	101.34363	100.45958	50.15723	2.13450
	8	98.63700	97.71308	45.34633	2.12794
	9	96.31283	95.33442	50.37526	2.12339
	10	94.38010	93.49792	54.66075	2.07480
	11	92.61121	91.66642	50.74067	2.15128
	12	91.06875	90.18858	53.10776	2.14753
	13	89.64579	88.86867	47.93059	2.16041
	14	88.37292	87.37908	45.14129	2.12895
	15	87.11119	86.27117	46.95501	2.14058
	16	86.03752	85.24058	45.29893	2.13224
	17	85.02248	84.18467	55.88084	2.12992
	18	84.00725	83.26050	53.36475	2.13123
	19	83.21913	82.32125	50.39831	2.28074
	20	82.34192	81.44225	51.69460	2.15835
	21	81.50215	80.68550	47.78131	2.13294
	22	80.75846	79.91050	46.37488	2.14586
	23	80.01973	79.24500	47.20488	2.28386
	24	79.34788	78.60050	48.74453	2.15220
	25	78.66973	77.93500	50.55673	2.12547
	26	78.04808	77.32208	49.54873	2.08953
	27	77.50250	76.76383	50.52835	2.17811
	28	76.95231	76.14908	46.79484	2.09602
	29	76.41112	75.61850	57.83605	2.13237
	30	75.86981	75.08033	50.30429	2.13053
	31	75.42140	74.68175	48.84591	2.13185
	32	74.93704	74.21675	48.40979	2.09715
	33	74.43198	73.57600	51.35294	2.13610
	34	73.96523	73.30433	48.60909	2.09258
	35	73.61010	73.00858	47.59206	2.11676
	36	73.21990	72.36225	52.00758	2.11669
	37	72.77829	72.01175	49.43519	2.14162
	38	72.39750	71.62417	52.34955	2.12301
	39	71.98421	71.27658	46.76821	2.04658
	40	71.64269	70.98575	49.74575	2.12878
	41	71.29577	70.44967	47.60370	2.12093
	42	70.92800	70.18375	52.50101	2.27737
	43	70.59627	69.83042	49.26155	2.19284
	44	70.28823	69.56217	50.62366	2.08216
	45	69.99056	69.19542	48.66147	2.19765
	46	69.65800	68.91558	53.62707	2.13636
	47	69.44381	68.76750	49.78528	2.11923
	48	69.12769	68.30558	51.95002	2.11354
	49	68.85221	68.12400	47.56804	2.08528
	50	68.54117	67.83608	53.89070	2.28672
	51	68.30635	67.64192	51.79730	2.06691
	52	68.02360	67.25900	53.84165	2.18053
	53	67.74675	67.11575	55.33832	1.99665
	54	67.54994	66.95667	55.46943	2.08150
	55	67.30152	66.73575	49.13617	2.09195
	56	67.08723	66.49967	45.36382	2.15192
	57	66.84883	66.12708	52.20715	2.13248
	58	66.58038	65.96208	51.12585	2.13251
	59	66.33304	65.83767	46.18520	2.10635
	60	66.15838	65.59483	47.85103	2.02503
	61	65.95992	65.33808	45.58997	2.12847
	62	65.78079	65.16050	44.41914	2.12819
	63	65.54158	64.88525	44.63111	2.12077
	64	65.35331	64.78683	44.46434	2.21208
	65	65.18556	64.62708	50.79701	2.13131
	66	64.99998	64.42700	45.92372	2.14561
	67	64.83196	64.19833	46.42307	2.10163
	68	64.60644	64.01242	47.59206	2.13038
	69	64.44181	63.86133	48.75362	2.11158
	70	64.29677	63.70600	45.25398	2.11438
	71	64.05727	63.59942	45.62041	2.13804
	72	63.90275	63.33342	45.83537	2.13114
	73	63.78162	63.28442	46.56053	2.12149
	74	63.61088	63.10017	45.55812	2.14453
	75	63.45410	62.94867	48.45314	2.38475
	76	63.32846	62.79917	45.23188	2.12496
	77	63.14833	62.54075	45.14420	2.13629
	78	62.99417	62.46117	45.12884	2.16798
	79	62.83037	62.18117	45.33939	2.14277
	80	62.73142	62.09358	46.79332	2.16375
	81	62.59660	62.00017	45.52943	2.13668
	82	62.45706	61.88692	50.14900	2.23502
	83	62.30038	61.67383	45.11161	2.11667
	84	62.12481	61.60425	45.52466	2.14697
	85	61.98512	61.47208	44.21108	2.14774
	86	61.85004	61.42317	46.66077	2.18401
	87	61.73925	61.22333	48.71784	2.12367
	88	61.65740	61.14150	45.02887	2.12609
	89	61.52850	60.90425	44.89278	2.13198
	90	61.36227	60.81208	45.06513	2.14958
	91	61.25419	60.69117	44.52872	2.09326
	92	61.09283	60.58417	46.35883	2.11053
	93	61.00200	60.47075	44.45485	2.36571
	94	60.88633	60.29442	45.40787	2.10682
	95	60.78329	60.18025	45.66811	2.09105
	96	60.68967	60.13300	45.82092	2.14669
	97	60.51402	60.01375	54.72753	2.15125
	98	60.43573	59.84517	49.18228	2.11140
	99	60.32375	59.83608	43.00065	2.09077
	100	60.24110	59.70692	58.52257	1.91743
