	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	147.89527	146.63942	85.12658	2.12713
	2	130.38910	129.25308	94.67067	2.21544
	3	119.28450	118.25175	85.60898	2.13301
	4	111.69292	110.69308	59.57276	2.18453
	5	106.49777	105.58833	65.11157	2.11896
	6	102.62915	101.69292	87.48776	2.25862
	7	99.65035	98.76708	60.64651	1.92897
	8	97.21790	96.35583	63.46270	2.14996
	9	95.01077	94.13058	60.38505	2.16289
	10	93.24915	92.28975	60.03070	2.02566
	11	91.63396	90.79575	57.64859	2.18841
	12	90.09094	89.30167	69.16515	2.13896
	13	88.73723	87.86567	59.86770	2.20271
	14	87.51156	86.54617	71.54382	2.15616
	15	86.38071	85.48975	77.38515	2.18911
	16	85.32817	84.60167	91.15862	2.16433
	17	84.26867	83.55133	63.47212	2.32944
	18	83.35244	82.69350	80.31130	2.08256
	19	82.51458	81.66642	67.98660	2.14834
	20	81.77552	81.08708	65.37892	2.25441
	21	80.89175	80.17650	78.39663	2.21689
	22	80.15540	79.48383	84.60707	2.17400
	23	79.51504	78.87850	77.92417	1.93411
	24	78.85642	78.02117	66.62672	1.98645
	25	78.20121	77.61183	70.11226	1.86240
	26	77.65806	76.87567	83.90555	2.13586
	27	77.06871	76.44083	89.30810	2.17004
	28	76.56315	75.81800	71.19294	2.28066
	29	76.03321	75.16533	76.72905	2.15947
	30	75.49825	74.90642	78.37669	2.19604
	31	75.01262	74.32575	66.92100	1.95368
	32	74.55742	73.84017	73.84807	2.14125
	33	74.14521	73.43758	73.98868	2.14005
	34	73.68233	72.93867	67.41356	2.18349
	35	73.25481	72.67692	71.70734	2.19872
	36	72.83306	72.16417	73.41220	2.12349
	37	72.52254	71.83683	91.58512	2.16241
	38	72.07829	71.31417	74.53730	2.03746
	39	71.75575	70.95825	62.92877	2.21274
	40	71.41065	70.72725	73.90060	2.15404
	41	71.05088	70.40067	97.97066	1.95276
	42	70.69604	70.12892	59.25730	2.19915
	43	70.37417	69.69775	63.05258	2.19006
	44	70.01108	69.41067	74.19606	2.09450
	45	69.81321	69.18233	59.00249	2.03287
	46	69.50417	68.84758	62.27462	2.09062
	47	69.19931	68.43508	85.62235	2.16934
	48	68.95448	68.16425	77.31587	2.05647
	49	68.69400	68.05992	61.26709	2.13107
	50	68.42010	67.81683	82.39747	2.12641
	51	68.14983	67.54067	59.28418	2.17749
	52	67.91163	67.24233	76.85025	2.15177
	53	67.67833	67.13533	92.14301	2.20511
	54	67.38160	66.93325	60.67296	2.16174
	55	67.24081	66.52867	88.72227	2.19535
	56	67.00665	66.45200	93.83486	2.30165
	57	66.74831	66.11717	59.68056	2.18232
	58	66.53133	65.90725	59.80525	2.09564
	59	66.26919	65.66208	59.21533	2.18415
	60	66.11435	65.60683	90.47695	2.07882
	61	65.93575	65.32042	73.71030	2.12553
	62	65.70779	65.15608	58.98605	2.13995
	63	65.50083	64.96267	58.32423	2.14596
	64	65.37865	64.68208	58.24723	2.12041
	65	65.13404	64.49000	90.62512	2.14875
	66	64.96517	64.44783	57.94000	2.15601
	67	64.80373	64.22717	57.94540	2.02833
	68	64.59977	63.98283	60.85305	2.10300
	69	64.47025	63.87758	61.28773	2.08320
	70	64.28956	63.67525	93.00533	2.16725
	71	64.12106	63.47558	63.91129	2.04272
	72	63.95808	63.27692	59.07646	2.14730
	73	63.82050	63.22117	89.94759	2.18254
	74	63.65973	63.14467	62.02246	2.17160
	75	63.47079	62.90367	67.82439	2.18941
	76	63.35840	62.74258	92.07504	2.19855
	77	63.23590	62.69917	59.26615	2.13208
	78	62.97362	62.51292	60.32277	2.14355
	79	62.85727	62.21250	92.89122	2.09191
	80	62.77248	62.24392	69.99487	1.99165
	81	62.60769	62.20167	67.81536	2.14828
	82	62.44342	61.93317	60.75075	2.01836
	83	62.29879	61.72267	83.92639	2.07926
	84	62.26294	61.74708	73.56119	2.17224
	85	62.09931	61.53575	77.86572	1.88723
	86	61.93752	61.38867	82.62558	2.15420
	87	61.75563	61.41525	71.53764	2.34392
	88	61.68896	61.23425	68.36240	2.13291
	89	61.53742	61.01267	68.09365	2.16394
	90	61.44225	60.92017	72.62783	2.17093
	91	61.32254	60.75525	71.09238	2.16981
	92	61.23394	60.64042	68.60907	2.17255
	93	61.11002	60.62783	67.72692	2.14565
	94	61.02058	60.45983	67.62150	2.16050
	95	60.89235	60.41300	67.84289	2.14766
	96	60.78663	60.09483	71.25342	2.18057
	97	60.62158	60.05892	68.95033	2.17014
	98	60.51356	59.93367	67.70831	2.17871
	99	60.42417	59.99908	68.48882	2.15928
	100	60.31917	59.79183	69.01967	2.13912
