	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	74.55054	73.89083	261.90485	8.49552
	2	63.44498	62.67258	268.27293	8.47602
	3	57.69940	57.16500	264.76183	8.24319
	4	53.92852	53.32733	265.02028	8.38319
	5	51.18702	50.64042	280.97553	8.36715
	6	48.97181	48.48158	254.64739	8.39456
	7	47.24148	46.58683	288.67855	8.41772
	8	45.74371	45.21167	281.55664	8.07086
	9	44.42087	43.94675	272.39870	8.12785
	10	43.29975	42.85858	280.54008	7.74591
	11	42.30133	41.85850	279.16740	8.42546
	12	41.43308	41.03175	255.31642	8.22192
	13	40.67806	40.25667	270.73115	8.60326
	14	39.89775	39.56017	267.43336	8.51592
	15	39.28723	38.91325	258.03863	8.51749
	16	38.66694	38.37475	261.47243	8.34306
	17	38.14842	37.83667	264.31778	8.45926
	18	37.61210	37.35075	259.09232	8.32915
	19	37.22854	36.82992	266.05095	8.36620
	20	36.72412	36.40692	254.73515	8.43807
	21	36.29190	35.99708	258.69683	8.45519
	22	35.94273	35.61308	263.89325	8.58259
	23	35.58681	35.35500	260.46303	8.28442
	24	35.19767	34.90492	266.30171	8.40529
	25	34.90827	34.68967	260.31206	8.40081
	26	34.58925	34.37892	260.75894	8.42995
	27	34.27429	34.05208	261.23142	8.39262
	28	33.98010	33.72900	258.76441	8.51057
	29	33.73983	33.55758	258.57602	8.55101
	30	33.45910	33.26492	270.82869	8.53123
	31	33.20408	33.04650	260.69792	8.53362
	32	32.94927	32.78700	258.92904	8.54116
	33	32.69015	32.53908	263.98330	8.51639
	34	32.50587	32.30858	264.32166	8.57899
	35	32.29267	32.12775	265.61539	8.44617
	36	32.08229	31.96567	255.10227	8.41570
	37	31.92288	31.71958	259.39269	8.60181
	38	31.70433	31.57017	261.50154	8.45872
	39	31.52775	31.38225	263.88128	8.43249
	40	31.39002	31.23625	265.44488	9.08214
	41	31.21894	31.17217	271.22305	8.48989
	42	31.00935	30.82567	261.03657	8.34961
	43	30.89094	30.67375	265.09037	8.43542
	44	30.70408	30.54250	255.04833	8.48719
	45	30.56671	30.42767	256.97667	8.32136
	46	30.41388	30.26717	255.25932	8.41776
	47	30.25235	30.15225	256.69655	8.18248
	48	30.13037	30.02017	258.00962	8.29403
	49	29.96010	29.90550	258.72396	8.33805
	50	29.80625	29.75683	260.49730	8.43308
	51	29.72212	29.58583	260.34354	8.49024
	52	29.57342	29.45475	262.68749	8.37158
	53	29.44867	29.31458	268.56284	8.51912
	54	29.34381	29.22225	262.01194	8.54962
	55	29.20035	29.15050	255.44003	8.52385
	56	29.08967	29.09867	270.34517	8.51619
	57	28.99981	28.89700	259.93539	8.58970
	58	28.86127	28.81450	257.04537	8.55091
	59	28.71269	28.70733	261.38274	7.82028
	60	28.66142	28.59367	255.15725	8.38551
	61	28.52010	28.42067	288.39300	8.46123
	62	28.44790	28.35367	265.99055	8.37560
	63	28.33215	28.25842	281.18889	8.50895
	64	28.27612	28.10008	263.53319	8.36157
	65	28.12121	28.08633	262.30867	8.45690
	66	28.00635	28.05533	258.39852	8.98499
	67	27.93035	27.90425	260.66112	8.38648
	68	27.82385	27.89975	260.46247	8.46128
	69	27.79229	27.65100	255.25144	8.41712
	70	27.69790	27.64825	259.79564	8.55126
	71	27.57756	27.54100	266.49915	8.23780
	72	27.48596	27.50792	256.44425	8.04501
	73	27.46698	27.33858	259.82901	8.36946
	74	27.32250	27.30908	280.83676	8.46775
	75	27.23248	27.17567	266.42827	8.36847
	76	27.21010	27.24992	268.48110	8.50279
	77	27.08673	27.01642	260.41367	8.54707
	78	27.01310	26.95308	264.73725	8.62677
	79	26.91544	27.00350	262.31415	8.63582
	80	26.85102	26.83717	256.64125	8.52218
	81	26.79510	26.78267	261.31290	8.55926
	82	26.70187	26.70608	261.82347	8.54840
	83	26.63417	26.61725	266.66789	8.33393
	84	26.54402	26.56775	257.27917	8.49738
	85	26.52271	26.41800	258.26066	8.25994
	86	26.46525	26.44375	257.66038	8.01286
	87	26.34600	26.42992	264.28410	8.06947
	88	26.29819	26.36625	263.75311	8.35331
	89	26.24169	26.27842	257.52546	8.07326
	90	26.15902	26.18733	259.84623	8.50490
	91	26.09167	26.18558	267.91361	8.36843
	92	26.06292	26.05608	265.72748	8.97879
	93	26.00360	26.07333	266.72376	8.52690
	94	25.93300	25.90783	264.54627	8.09247
	95	25.82117	25.85500	268.47430	8.52868
	96	25.78481	25.87325	263.42251	8.35220
	97	25.74425	25.76775	271.46713	8.50556
	98	25.64623	25.70208	264.05164	7.92037
	99	25.62102	25.61817	265.48475	8.27812
	100	25.55383	25.62825	263.85312	8.16706
