	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	153.81838	152.45700	41.25361	2.18350
	2	134.77198	133.42500	55.53947	2.23054
	3	122.93048	121.57017	44.07557	2.21599
	4	114.70910	113.70825	41.77571	2.17151
	5	109.07546	107.91683	52.59974	2.20024
	6	104.79688	103.70542	61.11269	2.19901
	7	101.30865	100.50400	48.75062	2.16781
	8	98.67352	97.59525	63.64604	2.17095
	9	96.34804	95.46908	51.44141	2.13769
	10	94.33531	93.54317	46.45255	2.26847
	11	92.61408	91.76267	44.33043	2.12361
	12	91.10783	90.22692	50.08714	2.60980
	13	89.54556	88.81025	60.46243	2.14119
	14	88.40379	87.50950	55.82501	2.18745
	15	87.09940	86.26783	52.52290	2.12949
	16	86.04731	85.27742	53.23526	2.22245
	17	85.02254	84.23425	46.81638	2.17613
	18	83.99329	83.24292	47.00927	2.16600
	19	83.16479	82.37492	43.94989	2.13688
	20	82.34773	81.43425	54.16540	2.05757
	21	81.58108	80.69650	39.04088	2.10413
	22	80.76958	79.95342	50.01824	2.05800
	23	80.07435	79.32208	41.49647	2.17339
	24	79.37475	78.55258	47.39030	2.23609
	25	78.67229	77.94483	50.22311	1.87853
	26	78.16735	77.30775	41.91893	1.85120
	27	77.56512	76.73817	42.25652	2.02769
	28	76.94423	76.15133	44.64968	2.18980
	29	76.44792	75.62550	46.06000	1.67410
	30	75.85396	75.07658	46.99714	1.75091
	31	75.40721	74.58467	63.36817	2.23219
	32	74.89185	74.13408	39.04391	2.11474
	33	74.48190	73.74800	42.11539	2.18013
	34	74.01929	73.22867	43.12300	2.12431
	35	73.51106	72.85433	41.74795	1.99348
	36	73.16206	72.43242	42.61548	2.28091
	37	72.76117	71.97467	46.00582	2.00911
	38	72.38779	71.69658	46.43545	1.92327
	39	72.04273	71.40933	45.87466	2.03149
	40	71.70058	70.90350	48.97337	1.93446
	41	71.23700	70.60567	52.83334	1.95293
	42	70.93806	70.22583	48.50829	1.99987
	43	70.61298	69.91958	45.72709	1.75234
	44	70.32400	69.65058	64.36880	2.17472
	45	69.99083	69.31300	42.93269	2.14390
	46	69.72898	68.99125	41.74141	2.27064
	47	69.36694	68.69192	43.08037	2.00655
	48	69.10621	68.41917	44.24458	1.72644
	49	68.79283	68.09758	38.08074	1.89700
	50	68.54240	68.01325	52.65149	2.08445
	51	68.25052	67.74208	50.39927	1.99103
	52	68.03306	67.37025	52.88030	2.01488
	53	67.75556	67.16383	51.87441	2.06342
	54	67.59369	66.94167	53.57568	2.05571
	55	67.26054	66.78775	51.56889	1.87320
	56	67.05144	66.35083	44.11992	2.08970
	57	66.81048	66.20192	41.89824	1.88634
	58	66.61067	66.02767	45.43156	1.87551
	59	66.39365	65.78675	42.66000	1.69997
	60	66.18844	65.63208	43.24903	1.88586
	61	65.95006	65.45775	44.14273	1.98904
	62	65.79104	65.15042	41.53174	1.88618
	63	65.54433	64.91650	56.01729	2.13726
	64	65.34877	64.77433	42.81275	2.22443
	65	65.17192	64.48283	64.63687	2.04411
	66	64.98642	64.35133	50.06369	1.68416
	67	64.80137	64.10217	54.37482	2.01281
	68	64.62300	64.04408	41.66855	1.98213
	69	64.42675	63.81750	44.45721	1.83703
	70	64.31323	63.68508	42.28504	1.83534
	71	64.11062	63.58492	48.26893	1.78017
	72	63.93494	63.44233	59.81506	2.01613
	73	63.74800	63.25650	50.91830	2.09613
	74	63.62002	62.94142	52.40582	2.05700
	75	63.50379	62.92625	51.27166	2.00869
	76	63.24690	62.63683	50.23229	2.07583
	77	63.16423	62.57408	48.39584	1.99000
	78	62.99412	62.38025	50.64474	1.98819
	79	62.85379	62.34783	48.05256	2.09400
	80	62.68321	62.14600	40.25202	2.05997
	81	62.52419	62.12242	39.44647	1.99544
	82	62.40454	61.81433	43.39251	2.10125
	83	62.34067	61.70325	69.09264	2.11402
	84	62.13712	61.52425	68.98672	1.90402
	85	62.01708	61.45850	44.12435	1.93251
	86	61.81644	61.32100	56.21655	2.10216
	87	61.79790	61.17342	68.10222	2.09968
	88	61.63663	60.99517	67.57944	2.21603
	89	61.50387	60.94800	68.72045	2.17020
	90	61.33412	60.79450	69.37881	2.22647
	91	61.22440	60.60608	69.43644	2.03326
	92	61.08635	60.60108	45.49551	2.23643
	93	61.02296	60.49092	43.16934	2.20773
	94	60.83888	60.30383	42.58488	2.11836
	95	60.81012	60.20442	44.83039	1.80100
	96	60.67319	60.17375	51.17972	2.01268
	97	60.55967	60.17733	63.65781	2.12061
	98	60.36115	60.00742	69.16920	1.89730
	99	60.30406	59.79492	43.23314	1.97843
	100	60.23460	59.72950	44.80661	1.75041
