	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	116.47927	115.52483	94.74923	3.14648
	2	98.54710	97.46717	74.72733	3.75210
	3	89.33115	88.51950	128.87547	3.42618
	4	83.61363	82.78692	91.32763	3.37448
	5	79.52694	78.68467	94.90241	3.37001
	6	76.39329	75.58150	93.13227	3.11181
	7	73.78054	72.94092	85.00255	3.34551
	8	71.56463	70.82650	96.20691	3.83989
	9	69.70740	69.05967	90.96952	3.71650
	10	68.06252	67.49250	125.22498	3.54301
	11	66.55450	66.00733	111.08667	3.48558
	12	65.23171	64.64233	88.02118	3.84813
	13	64.05975	63.49467	120.78981	3.82090
	14	63.01771	62.35892	100.50692	3.62536
	15	62.04092	61.30217	96.15719	3.76202
	16	61.07856	60.55433	88.95654	3.79679
	17	60.27623	59.73392	110.86341	3.87413
	18	59.51629	58.95275	99.08254	3.77058
	19	58.75300	58.34125	99.19098	3.91194
	20	58.18902	57.49900	112.84230	3.98984
	21	57.49985	56.96575	128.35588	3.59905
	22	56.93492	56.39592	101.75501	3.32242
	23	56.30090	55.90975	110.08929	3.31049
	24	55.74765	55.29508	89.39415	3.18358
	25	55.33113	54.71592	93.34907	3.50445
	26	54.79358	54.35000	107.42841	3.20816
	27	54.38646	53.82433	93.13610	3.12744
	28	53.95460	53.42792	93.24472	3.45481
	29	53.50640	53.01658	90.91455	3.87794
	30	53.09325	52.67300	111.59428	4.00017
	31	52.74842	52.23608	102.07571	3.43234
	32	52.37627	51.85575	96.00053	3.68415
	33	52.03885	51.60650	133.39882	3.55037
	34	51.71492	51.23233	95.64864	3.62961
	35	51.33487	50.82642	136.68122	3.46691
	36	51.04585	50.56608	96.91076	3.37734
	37	50.73792	50.28617	93.83202	3.28687
	38	50.44408	50.07117	75.79909	3.37411
	39	50.14713	49.66958	79.23733	2.97369
	40	49.84037	49.51475	96.13185	3.00921
	41	49.59310	49.26675	85.85261	3.75721
	42	49.35521	49.01525	90.83697	4.00119
	43	49.09110	48.77642	91.66202	3.53574
	44	48.90660	48.52517	96.42989	3.46897
	45	48.60262	48.25042	90.01869	3.90476
	46	48.39927	48.09392	131.38199	3.49675
	47	48.15444	47.86292	93.04386	3.31436
	48	47.97792	47.63750	91.18334	3.39962
	49	47.69685	47.40108	94.24187	3.51039
	50	47.56963	47.20400	92.01106	3.29549
	51	47.36454	47.00358	81.73513	3.40691
	52	47.14890	46.81550	113.02101	3.34666
	53	47.00327	46.63167	103.19384	3.81205
	54	46.78275	46.39592	79.65807	3.74991
	55	46.60083	46.31383	84.66471	3.38048
	56	46.38758	46.12208	97.90413	3.42518
	57	46.26502	45.96617	103.46508	3.45970
	58	46.03933	45.75100	100.34570	3.48860
	59	45.92467	45.54625	108.29886	3.45543
	60	45.72113	45.49633	94.77204	3.34515
	61	45.51700	45.30742	111.58861	3.91055
	62	45.44302	45.10675	84.65722	4.11386
	63	45.30202	45.03175	93.94576	3.64415
	64	45.17452	44.88775	91.99913	3.67856
	65	45.00238	44.66750	117.13210	3.12823
	66	44.85827	44.56083	107.87087	3.70212
	67	44.66183	44.29925	95.71124	3.85300
	68	44.54006	44.31800	97.89450	3.02525
	69	44.39844	44.11008	106.68647	3.33466
	70	44.29675	44.00025	111.27115	3.39153
	71	44.16981	43.91783	107.01507	3.36651
	72	44.07265	43.73267	103.87014	3.61427
	73	43.92287	43.71967	81.86213	3.91792
	74	43.78758	43.56617	96.84717	3.92225
	75	43.61758	43.39600	96.12928	3.98232
	76	43.54442	43.26708	100.87036	3.60723
	77	43.42027	43.10117	89.57868	3.54139
	78	43.30398	43.10008	90.40146	3.30095
	79	43.21183	42.81667	96.01465	3.49978
	80	43.08198	42.79183	91.66665	3.32007
	81	42.97142	42.74333	95.87615	3.21325
	82	42.88781	42.57392	85.90179	3.28203
	83	42.71527	42.46442	103.59633	3.33432
	84	42.64823	42.38775	90.03441	3.31564
	85	42.49902	42.33592	128.35332	3.95385
	86	42.42819	42.28342	107.40319	3.38348
	87	42.36010	42.07533	121.24187	3.45521
	88	42.20504	42.07292	88.11391	2.86853
	89	42.11723	41.92900	90.84231	3.89654
	90	42.04752	41.78142	89.44867	3.87066
	91	41.92758	41.70425	90.29887	3.82348
	92	41.82440	41.62467	115.24482	3.47683
	93	41.75281	41.54208	89.86773	3.30597
	94	41.60767	41.44000	95.66025	3.41967
	95	41.55346	41.36900	73.97490	3.21666
	96	41.47273	41.28167	78.64079	3.66352
	97	41.39033	41.15158	90.20361	3.85133
	98	41.31815	41.14592	82.71759	3.57212
	99	41.20919	41.03100	127.78614	3.39477
	100	41.12173	40.94892	88.54846	3.25970
