	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	105.72617	104.83425	124.80386	4.36010
	2	89.67298	88.85817	139.67769	4.53982
	3	81.35290	80.47017	117.20859	4.76324
	4	76.06579	75.17408	113.97893	4.40472
	5	72.19110	71.46767	115.96041	4.46373
	6	69.24131	68.55792	115.10253	4.14406
	7	66.72971	66.03017	115.59118	4.46261
	8	64.67125	64.04358	143.73047	4.33413
	9	62.95190	62.21275	137.97302	4.35536
	10	61.43775	60.69033	161.52445	4.09440
	11	60.10519	59.43808	148.29863	3.97117
	12	58.84760	58.26608	127.20023	4.32886
	13	57.78165	57.15933	126.49558	4.32424
	14	56.85469	56.07033	128.30219	4.26439
	15	55.96142	55.37433	123.92241	4.25515
	16	55.08294	54.49775	115.73851	4.61771
	17	54.38454	53.80817	120.02766	4.43275
	18	53.63113	53.19467	118.64859	4.19237
	19	53.05494	52.46142	147.71373	4.53899
	20	52.36994	51.96325	111.98376	4.46291
	21	51.84746	51.33392	138.19575	4.54030
	22	51.32383	50.77792	128.03929	4.33245
	23	50.83771	50.32175	125.52608	4.28421
	24	50.31835	49.80833	120.72722	4.24623
	25	49.90279	49.36317	122.70004	4.55613
	26	49.37694	48.95975	161.30424	4.49829
	27	49.06531	48.55250	147.33114	4.39245
	28	48.63806	48.23933	113.56399	4.34061
	29	48.29037	47.77683	116.41513	4.34257
	30	47.90704	47.55825	124.72175	4.31345
	31	47.61590	47.15717	115.46619	4.34231
	32	47.26350	46.86017	113.63025	4.35325
	33	46.90658	46.48417	162.95403	4.54615
	34	46.58215	46.33533	141.53901	4.38368
	35	46.37600	45.94925	116.05471	4.18130
	36	46.04390	45.73892	138.53801	4.28065
	37	45.80181	45.39650	155.44633	4.28951
	38	45.48596	45.21725	128.46450	3.95983
	39	45.22398	44.93467	112.25219	4.38224
	40	44.97858	44.65258	112.47987	4.38813
	41	44.83277	44.42025	113.85905	4.30368
	42	44.55383	44.20917	120.86797	4.18543
	43	44.31523	43.94225	129.89093	4.26296
	44	44.07483	43.76242	111.67703	4.23124
	45	43.85423	43.49783	108.96408	4.26322
	46	43.65925	43.34950	118.73629	4.21841
	47	43.47979	43.17958	150.63122	4.21326
	48	43.23877	42.86225	120.62347	4.48738
	49	43.03142	42.75458	133.63379	4.19945
	50	42.90498	42.58050	115.73079	4.08220
	51	42.69894	42.47683	110.05719	4.54526
	52	42.56992	42.20442	152.00625	4.35045
	53	42.34352	42.08233	113.69816	4.27926
	54	42.19683	41.95925	161.18014	4.41355
	55	42.02233	41.79600	146.09472	4.61801
	56	41.85054	41.56567	120.04982	4.36197
	57	41.67125	41.45542	161.80892	4.33309
	58	41.61413	41.23775	112.16757	4.48522
	59	41.38885	41.09617	117.79128	4.18439
	60	41.25317	41.02825	143.39935	4.30136
	61	41.08071	40.85392	114.09439	4.68600
	62	40.96679	40.70575	110.37301	4.26290
	63	40.79273	40.61975	127.52787	4.13143
	64	40.68150	40.46033	115.49968	4.03251
	65	40.53087	40.25200	137.83125	4.41101
	66	40.43273	40.13717	134.90371	4.13497
	67	40.27223	40.04175	126.94224	4.44479
	68	40.13577	39.96558	113.76746	4.40686
	69	40.04471	39.80875	116.88423	4.26898
	70	39.89392	39.71708	129.08193	4.44274
	71	39.78504	39.52708	133.34216	4.06019
	72	39.64585	39.56958	117.14081	4.68370
	73	39.51798	39.29733	137.96459	4.12101
	74	39.43315	39.31517	117.73020	4.55532
	75	39.25750	39.12800	111.52457	4.75614
	76	39.15415	39.07333	117.24259	4.36968
	77	39.12833	38.89550	138.29992	4.42789
	78	38.99777	38.80200	119.08688	4.35453
	79	38.88756	38.70208	112.43886	4.45131
	80	38.81931	38.51133	118.69841	4.40750
	81	38.64925	38.51792	113.86484	4.49191
	82	38.59737	38.44683	138.70661	4.19663
	83	38.45223	38.28375	143.95025	4.08068
	84	38.38694	38.18058	142.52226	4.05486
	85	38.30427	38.06267	133.07077	4.32494
	86	38.16427	37.93008	133.43485	4.23899
	87	38.09802	37.96625	165.36240	4.39066
	88	38.03181	37.89400	164.33897	3.92776
	89	37.89427	37.83842	170.46073	4.23405
	90	37.83090	37.65683	183.61502	4.65635
	91	37.73550	37.54925	172.52033	4.20326
	92	37.62060	37.50642	130.33656	4.08307
	93	37.54485	37.45325	166.09637	4.04894
	94	37.49608	37.30267	176.40257	4.41585
	95	37.33419	37.27575	170.25201	4.25392
	96	37.29406	37.10100	181.07667	3.99890
	97	37.21446	37.01125	178.79737	3.79870
	98	37.10952	37.07725	164.29739	3.95478
	99	37.06992	36.95200	164.88961	4.00084
	100	36.97385	36.90558	164.49572	4.10702
