	Number of Epoch	Training -Dist	Validation - Dist	Training Time(CPU time/s)	Validation Time(CPU time/s)
	1	97.46619	96.58417	142.21912	5.01514
	2	82.59252	81.69708	140.52231	5.05060
	3	74.85996	74.09492	139.59887	5.08292
	4	69.87829	69.04608	138.09421	5.07263
	5	66.20638	65.58225	141.28539	5.13805
	6	63.44021	62.87292	140.08923	5.17157
	7	61.20202	60.60175	139.86880	5.12528
	8	59.33287	58.67600	140.97912	5.18737
	9	57.74296	56.97342	140.52218	5.08202
	10	56.25417	55.70158	138.28867	5.01604
	11	55.06885	54.50258	140.81317	5.02016
	12	53.96367	53.25142	141.17284	5.06772
	13	52.98296	52.38250	143.33828	4.99968
	14	52.11025	51.61508	140.96006	5.13280
	15	51.28248	50.61158	141.29719	5.15927
	16	50.45440	49.89550	140.72694	5.12023
	17	49.81740	49.36958	140.82055	5.13360
	18	49.19977	48.67592	141.29508	5.11662
	19	48.56104	48.16717	141.73217	5.15840
	20	47.96931	47.53233	140.95888	5.11446
	21	47.51152	47.12200	141.32953	5.02090
	22	47.01600	46.57800	141.15188	5.10540
	23	46.50092	46.08900	141.55819	5.07819
	24	46.06115	45.68217	141.05880	5.15004
	25	45.64894	45.28975	141.52605	5.13830
	26	45.31250	44.89992	140.83356	5.04407
	27	44.87527	44.53358	141.35165	5.10741
	28	44.54473	44.10817	141.54759	5.13574
	29	44.18160	43.89500	142.24339	5.11438
	30	43.87148	43.43333	142.65092	5.09338
	31	43.53877	43.15742	144.67663	5.04223
	32	43.23348	42.90633	141.00922	5.07132
	33	42.99544	42.62325	141.67131	5.03356
	34	42.67427	42.37042	141.10140	5.05799
	35	42.42238	42.17817	141.06147	4.92711
	36	42.14044	41.80800	142.53818	5.10932
	37	41.88494	41.59367	142.46079	5.14420
	38	41.65740	41.39775	142.54443	5.12081
	39	41.39833	41.16750	142.31604	5.14997
	40	41.16156	40.89517	140.88317	4.94676
	41	40.94752	40.64183	141.21937	5.19140
	42	40.75206	40.45692	140.46749	5.21320
	43	40.55096	40.21508	139.94934	5.19423
	44	40.32258	40.05842	139.94030	5.19915
	45	40.19598	39.95525	140.18040	5.19650
	46	39.91592	39.59708	140.12140	5.12770
	47	39.73381	39.44683	140.38881	5.13263
	48	39.52792	39.38125	139.97777	5.18344
	49	39.37760	39.09975	140.00472	5.20577
	50	39.25890	39.09308	139.98381	5.18366
	51	39.06565	38.87608	140.35771	5.17504
	52	38.93875	38.63883	139.91551	5.17364
	53	38.75477	38.59342	139.09967	5.16579
	54	38.59879	38.40150	139.42966	5.15362
	55	38.45767	38.24625	140.13804	5.09431
	56	38.25746	38.12775	137.17705	5.01858
	57	38.15071	37.91317	140.41637	5.08257
	58	38.02737	37.82500	141.14238	4.90991
	59	37.82423	37.74750	145.69438	5.10452
	60	37.76952	37.57092	139.81720	4.88647
	61	37.58877	37.43533	147.24292	4.93482
	62	37.51112	37.32233	141.35699	5.02600
	63	37.36815	37.23025	139.05401	5.05549
	64	37.24094	36.93850	149.84054	5.17715
	65	37.05469	36.90975	143.73330	5.06506
	66	36.97798	36.77200	139.59927	4.98150
	67	36.85723	36.76242	144.35418	5.06935
	68	36.74529	36.60225	142.49693	5.17286
	69	36.60523	36.39308	145.21125	5.26137
	70	36.52502	36.40808	143.58691	4.88722
	71	36.34748	36.16242	141.99258	5.64105
	72	36.30171	36.17608	150.48336	4.95716
	73	36.21690	36.10792	144.77429	4.95253
	74	36.07183	35.92583	144.05168	5.01237
	75	35.96283	35.88725	146.04030	4.94302
	76	35.87800	35.69842	143.74034	5.11443
	77	35.75669	35.63133	142.76997	5.09790
	78	35.66273	35.46508	140.98217	4.96983
	79	35.58444	35.56133	143.86222	4.94527
	80	35.50425	35.37850	145.13108	5.07567
	81	35.39556	35.24283	144.59754	5.12018
	82	35.34194	35.21142	141.32357	5.11772
	83	35.19635	35.11525	141.29283	5.07064
	84	35.14406	34.99208	140.77758	5.11480
	85	35.03023	34.91708	143.00330	5.10131
	86	34.90377	34.83025	149.48802	5.06456
	87	34.86054	34.70092	142.21396	5.16380
	88	34.74367	34.63208	139.09142	5.15468
	89	34.69625	34.61392	139.13255	5.11438
	90	34.61571	34.53025	139.22993	5.16782
	91	34.51981	34.42375	139.27293	5.13528
	92	34.42892	34.24008	145.76939	5.04791
	93	34.35444	34.32042	145.62878	5.18100
	94	34.27196	34.25450	144.72104	5.10398
	95	34.21452	34.16792	145.23922	4.99013
	96	34.14110	34.06283	146.41135	4.99430
	97	34.05375	33.92667	147.36879	5.11136
	98	33.97810	33.95342	144.52234	5.08919
	99	33.88750	33.73992	141.45357	5.04870
	100	33.80310	33.75158	150.10399	5.00823
